,RT_high,RT_high_1,RT_low,ACC_high,ACC_high_1,ACC_low,prolific_participant_id
0,812.2857143,857.25,884.6632653,1,0.958333333,0.984375,60fed0f8f0e650c3f83c91a3
1,808.4615385,858.4285714,793.2142857,0.958333333,0.958333333,0.963541667,591d739a40c1b400019a2905
2,1454.916667,1269.090909,1248.040816,0.958333333,1,0.984375,60e0773fd354bb0e662b6771
3,1052.142857,1005.3,976.9684211,1,0.916666667,0.958333333,5ff1be724cfb7d137e366235
4,926,859.85,877,1,0.958333333,0.953125,612ebddc643b39a4342de819
5,999.8571429,866.1666667,841.8369565,1,0.875,0.911458333,60fc7e0418744056f207c3ca
6,1060.928571,1169.952381,1069.61,1,0.958333333,0.96875,60fce012fb6afc3c874918ec
7,801.5714286,873.8333333,810.49,0.958333333,0.833333333,0.953125,608c7fe82e077d3c9c96ccf1
8,952.1818182,1040.55,1046.833333,0.875,0.958333333,0.9375,6110d75f4cfd0b62e7d2e13c
9,1021.142857,1013.571429,953.0990099,0.958333333,0.958333333,0.96875,610c049b89dac6a90e0d072a
10,932.3,885.2352941,848.8295455,0.708333333,0.791666667,0.875,613a9700bf01a93d7008c3f7
11,900.5384615,1189.15,1071.28,1,0.916666667,0.979166667,613b10510ef09634590eada2
12,692.7142857,699.4761905,666.2631579,0.958333333,0.958333333,0.932291667,59d793bbcfaf74000161143e
13,721.5,811.6315789,711.6428571,1,0.833333333,0.953125,61327318da83edb47b6f9525
14,919.6428571,941.7894737,871.8,1,0.875,0.932291667,60f2d82a20a376f39feb6912
15,967.0769231,909.9473684,894.2268041,0.958333333,0.916666667,0.958333333,613a37819b27acb95e432628
16,978.2307692,979.9047619,971.88,1,1,0.979166667,60fc5c6a4269d6b01f8744d3
17,775.7142857,628.5263158,701.94,1,0.916666667,0.994791667,6116241c13cf4797256b813c
18,814.7272727,841.5,817.5473684,0.833333333,0.958333333,0.942708333,59d5888d21977e0001d630f3
19,854.1538462,817.6190476,956.1354167,0.916666667,1,0.96875,60fc717746b9c8d275ebcce7
20,670.2307692,768.2380952,744.6039604,1,1,1,60bd004a31845ac6e7e2c9db
21,596.5833333,626.15,636.7011494,0.833333333,0.875,0.885416667,60fd55f559e7795b518f7438
22,847.6666667,787.3181818,683.7755102,0.916666667,1,0.973958333,61154c699e17bf9531221d9f
23,653.3846154,728.9411765,734.2808989,1,0.791666667,0.901041667,5ed8e10d54fe053fbc756c72
24,847,831.3,869.9313725,1,0.958333333,0.989583333,60fd1ff675f39e778dc37e73
25,883.0714286,904.1578947,870.4631579,1,0.916666667,0.932291667,60b70dafdb9c3619626ba7a1
26,875.5,984.2272727,883.7722772,1,1,0.979166667,60fec5dbe398075bf25e95a6
27,1198.230769,1173.222222,1158.989362,0.958333333,0.833333333,0.90625,60c4f5dba71deb4261ea8e39
28,1089.692308,940.7368421,898.3010753,0.916666667,0.916666667,0.916666667,6113d593b51f3ba3ecc07a76
29,746.75,746.5238095,780.3229167,0.875,0.958333333,0.916666667,6124bc2ab4a7042465e1f558
30,644.0769231,655.6842105,639.6185567,0.958333333,0.875,0.958333333,60fd276afbe1c81b14fd3611
31,901,916.7619048,930.2277228,1,1,1,5fd96b1bcffb0b4807be2ed6
32,739.6428571,748.1904762,709.1089109,1,1,0.994791667,60fe18baa4c353a8adaa9bcb
33,719.0769231,751.5238095,760.1340206,0.958333333,0.958333333,0.984375,60ebbdd7a4f2acdb9a9769e5
34,684.7142857,709.4545455,688.32,1,1,0.96875,60fdf254d7cf63001528e2a9
35,761.4,871.8947368,894.9880952,0.833333333,0.875,0.817708333,613ad2dca28edcb436ce5731
37,879.3846154,908.35,918.1702128,0.916666667,0.958333333,0.9375,60febc18cd038bc135043084
38,826.8571429,798.5,805.1632653,0.958333333,1,0.979166667,60fd201eafb410f32682489c
39,820,844.5789474,805.5773196,0.958333333,0.916666667,0.973958333,5f8739ae0483431242e11d41
40,978.4285714,1024.590909,998.1372549,1,1,0.989583333,60fcda61bb9779ae53d24fe4
41,688.2857143,664,669.5841584,1,1,0.973958333,5e2720de173db496168318c6
42,795.4615385,786.3333333,808.4059406,0.958333333,0.958333333,0.973958333,6126283722c87c2d9e10f679
